Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch01,1633834.843524,1633834.8388671875,1.3887854508085322
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,1.289874436776489
PB20.13.28_Comb21Ch03,1699981.69411,1699981.689453125,2.3698040400437885
PB20.13.28_Comb21Ch04,1753692.63161,1753692.626953125,1.3764343405261599
PB20.13.28_Comb21Ch05,1814193.730243,1814193.7255859375,1.4694099651336654
PB20.13.28_Comb21Ch06,1871643.071063,1871643.06640625,1.580329473667925
PB20.13.28_Comb21Ch07,1914138.798602,1914138.7939453125,2.114019125763421
PB20.13.28_Comb21Ch08,1971740.727313,1971740.72265625,2.099006248286352
PB20.13.28_Comb21Ch09,2043838.505633,2043838.5009765625,1.6346476416343192
PB20.13.28_Comb21Ch10,2086868.290789,2086868.2861328125,1.9247310152779105
PB20.13.28_Comb21Ch11,2162323.002703,2162322.998046875,1.8973245043224045
PB20.13.28_Comb21Ch12,2214660.649188,2214660.64453125,1.5406008327515057
PB20.13.28_Comb21Ch13,2264099.12575,2264099.12109375,2.9195708557853823
PB20.13.28_Comb21Ch14,2326736.454852,2326736.4501953125,1.6507324593792798
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,1.7503705032507946
PB20.13.28_Comb21Ch16,2444610.60036,2444610.595703125,1.6820278422640589
PB20.13.28_Comb21Ch17,2525100.712664,2525100.7080078125,1.9687919155382276
PB20.13.28_Comb21Ch18,2565078.740008,2565078.7353515625,2.4774955309338282
PB20.13.28_Comb21Ch19,2648391.728289,2648391.7236328125,1.6476493614637215
PB20.13.28_Comb21Ch20,2718963.627703,2718963.623046875,1.0637919007230041
PB20.13.28_Comb21Ch21,2806625.370868,2806625.3662109375,1.5020511046978224
PB20.13.28_Comb21Ch22,2875976.567157,2875976.5625,1.7687749622625697
PB20.13.28_Comb21Ch23,2940750.126727,2940750.1220703125,1.6714808916459225
PB20.13.28_Comb21Ch24,3018493.657,3018493.65234375,2.043949154269414
PB20.13.28_Comb21Ch25,3085250.859149,3085250.8544921875,1.7112859501946023
PB20.13.28_Comb21Ch26,3143844.609149,3143844.6044921875,1.3837053663067251
PB20.13.28_Comb21Ch27,3249359.135516,3249359.130859375,1.6257688853585546
PB20.13.28_Comb21Ch28,3313293.461688,3313293.45703125,1.2726277562200252
PB20.13.28_Comb21Ch29,3409042.363055,3409042.3583984375,2.989364333987054
PB20.13.28_Comb21Ch30,3470382.695086,3470382.6904296875,2.418330914092117
PB20.13.28_Comb21Ch31,3568191.532977,3568191.5283203125,1.5646391578284342
PB20.13.28_Comb21Ch32,3684005.741961,3684005.7373046875,1.7805759662262726
PB20.13.28_Comb21Ch33,3758087.16286,3758087.158203125,1.572831924144193
PB20.13.28_Comb21Ch34,3822555.546649,3822555.5419921875,2.0745648536573627
PB20.13.28_Comb21Ch35,3924484.257586,3924484.2529296875,1.44593711586153
PB20.13.28_Comb21Ch36,4007568.364032,4007568.359375,1.3514365054144426
PB20.13.28_Comb21Ch37,4134063.72536,4134063.720703125,1.378472175438972
PB20.13.28_Comb21Ch38,4206466.679461,4206466.6748046875,1.2441943869971617
PB20.13.28_Comb21Ch39,4309463.505633,4309463.5009765625,2.3251465806296605
PB20.13.28_Comb28Ch01,1674041.752703,1674041.748046875,1.7245551849341947
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,1.3657959083361078
