Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch01,1633834.843524,1633834.8388671875,1.3836397031433476
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,1.2844964647643147
PB20.13.28_Comb21Ch03,1699981.69411,1699981.689453125,2.361885725755902
PB20.13.28_Comb21Ch04,1753692.63161,1753692.626953125,1.3701971437724338
PB20.13.28_Comb21Ch05,1814193.730243,1814193.7255859375,1.4628452731887231
PB20.13.28_Comb21Ch06,1871643.071063,1871643.06640625,1.5801044154309993
PB20.13.28_Comb21Ch07,1914138.798602,1914138.7939453125,2.1093052798357976
PB20.13.28_Comb21Ch08,1971740.727313,1971740.72265625,2.0953284751257484
PB20.13.28_Comb21Ch09,2043838.505633,2043838.5009765625,1.6328321600623852
PB20.13.28_Comb21Ch10,2086868.290789,2086868.2861328125,1.0769790025412882
PB20.13.28_Comb21Ch11,2162323.002703,2162322.998046875,1.8919562109088082
PB20.13.28_Comb21Ch12,2214660.649188,2214660.64453125,1.5371564444387442
PB20.13.28_Comb21Ch13,2264099.12575,2264099.12109375,2.915861615288813
PB20.13.28_Comb21Ch14,2326736.454852,2326736.4501953125,1.6480524822420926
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,1.7393870066543304
PB20.13.28_Comb21Ch16,2444610.60036,2444610.595703125,1.6813549289739154
PB20.13.28_Comb21Ch17,2525100.712664,2525100.7080078125,1.959269034259609
PB20.13.28_Comb21Ch18,2565078.740008,2565078.7353515625,2.4647022916255503
PB20.13.28_Comb21Ch19,2648391.728289,2648391.7236328125,1.6519504305886628
PB20.13.28_Comb21Ch20,2718963.627703,2718963.623046875,1.063173607156433
PB20.13.28_Comb21Ch21,2806625.370868,2806625.3662109375,1.4961232731191372
PB20.13.28_Comb21Ch22,2875976.567157,2875976.5625,1.7799060623404832
PB20.13.28_Comb21Ch23,2940750.126727,2940750.1220703125,1.6851830648362223
PB20.13.28_Comb21Ch24,3018493.657,3018493.65234375,2.0333805627724515
PB20.13.28_Comb21Ch25,3085250.859149,3085250.8544921875,1.7010378377981463
PB20.13.28_Comb21Ch26,3143844.609149,3143844.6044921875,1.3798294111979097
PB20.13.28_Comb21Ch27,3249359.135516,3249359.130859375,1.6160816129587563
PB20.13.28_Comb21Ch28,3313293.461688,3313293.45703125,1.2622060029534825
PB20.13.28_Comb21Ch29,3409042.363055,3409042.3583984375,3.0063250644125485
PB20.13.28_Comb21Ch30,3470382.695086,3470382.6904296875,2.4337190469813295
PB20.13.28_Comb21Ch31,3568191.532977,3568191.5283203125,1.5509609212387765
PB20.13.28_Comb21Ch32,3684005.741961,3684005.7373046875,1.8060568216962931
PB20.13.28_Comb21Ch33,3758087.16286,3758087.158203125,1.5972270179679617
PB20.13.28_Comb21Ch34,3822555.546649,3822555.5419921875,2.0896986692378237
PB20.13.28_Comb21Ch35,3924484.257586,3924484.2529296875,1.4223581546211035
PB20.13.28_Comb21Ch36,4007568.364032,4007568.359375,1.3297109930710478
PB20.13.28_Comb21Ch37,4134063.72536,4134063.720703125,1.3583924738382502
PB20.13.28_Comb21Ch38,4206466.679461,4206466.6748046875,1.2254820545388674
PB20.13.28_Comb21Ch39,4309463.505633,4309463.5009765625,2.314682181958012
PB20.13.28_Comb28Ch01,1674041.752703,1674041.748046875,1.6998441432948177
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,1.3438162144533836
PB20.13.28_Comb28Ch03,1762847.905047,1762847.900390625,1.3032253993604146
PB20.13.28_Comb28Ch04,1819229.130633,1819229.1259765625,1.33933931905634
PB20.13.28_Comb28Ch05,1931762.699969,1931762.6953125,1.5211028036937053
PB20.13.28_Comb28Ch06,1983489.994891,1983489.990234375,1.5142981324366958
PB20.13.28_Comb28Ch07,2039031.987078,2039031.982421875,1.5317929782630064
PB20.13.28_Comb28Ch08,2096405.033953,2096405.029296875,1.5374242608984974
PB20.13.28_Comb28Ch09,2151489.262469,2151489.2578125,1.079401362924967
PB20.13.28_Comb28Ch10,2212753.300555,2212753.2958984375,2.298233663381558
PB20.13.28_Comb28Ch11,2279891.97243,2279891.9677734375,1.7746547525782013
PB20.13.28_Comb28Ch12,2348327.641375,2348327.63671875,1.5210683701128105
PB20.13.28_Comb28Ch13,2400436.406024,2400436.4013671875,1.6066985210571838
PB20.13.28_Comb28Ch14,2465133.671649,2465133.6669921875,2.1474384639158766
PB20.13.28_Comb28Ch15,2538223.271258,2538223.2666015625,1.6917545992008267
PB20.13.28_Comb28Ch16,2608642.582782,2608642.578125,1.2676934425430821
PB20.13.28_Comb28Ch17,2662811.283953,2662811.279296875,1.6539408605361154
PB20.13.28_Comb28Ch18,2746047.978289,2746047.9736328125,1.6483631715252574
PB20.13.28_Comb28Ch19,2815856.93825,2815856.93359375,1.1096647133518556
PB20.13.28_Comb28Ch20,2884445.195086,2884445.1904296875,1.877098614908912
PB20.13.28_Comb28Ch21,2959365.849383,2959365.8447265625,1.6753380609376103
PB20.13.28_Comb28Ch22,3037033.085711,3037033.0810546875,1.6931294005308077
PB20.13.28_Comb28Ch23,3104400.639422,3104400.634765625,1.4132931039200347
PB20.13.28_Comb28Ch24,3195800.785907,3195800.78125,1.776934254550093
PB20.13.28_Comb28Ch25,3257675.175555,3257675.1708984375,1.4706035537845057
PB20.13.28_Comb28Ch26,3348464.970477,3348464.9658203125,1.7796423217269435
PB20.13.28_Comb28Ch27,3433609.013446,3433609.0087890625,1.478416604976966
PB20.13.28_Comb28Ch28,3525238.041766,3525238.037109375,1.7516145423664038
PB20.13.28_Comb28Ch29,3584594.731219,3584594.7265625,1.670774806992891
PB20.13.28_Comb28Ch30,3692932.133563,3692932.12890625,1.9398549548928654
PB20.13.28_Comb28Ch31,3784332.280047,3784332.275390625,1.802303335286784
PB20.13.28_Comb28Ch32,3885955.815203,3885955.810546875,1.6430784777756933
PB20.13.28_Comb28Ch33,3963851.933368,3963851.9287109375,1.690895434396156
PB20.13.28_Comb28Ch34,4056549.076922,4056549.072265625,1.5472506834698718
PB20.13.28_Comb28Ch35,4253921.513446,4253921.5087890625,1.5769961615219905
PB20.13.28_Comb28Ch36,4341812.138446,4341812.1337890625,1.3039920953832647
PB20.13.28_Comb28Ch37,4448699.955828,4448699.951171875,1.4898134215147754
PB20.13.28_Comb28Ch38,4442901.615985,4442901.611328125,1.738709808927165
PB20.13.15_Comb06Ch01,1738891.606219,1738891.6015625,1.5650392305352825
PB20.13.15_Comb06Ch02,2143630.986102,2143630.9814453125,1.0052447194679883
PB20.13.15_Comb06Ch03,2287292.485125,2287292.48046875,1.7165206828552242
PB20.13.15_Comb06Ch04,2809677.12868,2809677.1240234375,0.9451798215939271
PB20.13.15_Comb06Ch05,3058090.214618,3058090.2099609375,1.6496222008124324
PB20.13.15_Comb06Ch06,3252258.305438,3252258.30078125,1.3908165590419468
PB20.13.15_Comb06Ch07,3439178.471453,3439178.466796875,1.333526909714758
PB20.13.15_Comb06Ch08,3913421.635516,3913421.630859375,1.4274890270027922
PB20.13.15_Comb06Ch09,4128799.443133,4128799.4384765625,1.2345797393452036
PB20.13.15_Comb06Ch10,4374313.359149,NaN,NaN
PB20.13.11_Comb11Ch01,1632385.258563,1632385.25390625,1.3644314105373414
PB20.13.11_Comb11Ch02,1687316.899188,1687316.89453125,1.354090924594036
PB20.13.11_Comb11Ch03,1723175.053485,1723175.048828125,3.6671263105956515
PB20.13.11_Comb11Ch04,1776275.639422,1776275.634765625,1.2094304754087415
