Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch01,1633834.843524,1633834.8388671875,1.3710979092303668
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,1.2780976127298045
PB20.13.28_Comb21Ch03,1699981.69411,1699981.689453125,2.3525673194190726
PB20.13.28_Comb21Ch04,1753692.63161,1753692.626953125,1.3610480250505035
PB20.13.28_Comb21Ch05,1814193.730243,1814193.7255859375,1.4542943926622678
PB20.13.28_Comb21Ch06,1871643.071063,1871643.06640625,1.5663067432137094
PB20.13.28_Comb21Ch07,1914138.798602,1914138.7939453125,2.1007461255116424
PB20.13.28_Comb21Ch08,1971740.727313,1971740.72265625,2.0855133168670577
PB20.13.28_Comb21Ch09,2043838.505633,2043838.5009765625,1.6219032873854937
PB20.13.28_Comb21Ch10,2086868.290789,2086868.2861328125,1.0655734122271974
PB20.13.28_Comb21Ch11,2162323.002703,2162322.998046875,1.878010123766327
PB20.13.28_Comb21Ch12,2214660.649188,2214660.64453125,1.5251178702988937
PB20.13.28_Comb21Ch13,2264099.12575,2264099.12109375,2.9006312091644553
PB20.13.28_Comb21Ch14,2326736.454852,2326736.4501953125,1.6361775503129616
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,1.7253107656407791
PB20.13.28_Comb21Ch16,2444610.60036,2444610.595703125,1.6702323487885955
PB20.13.28_Comb21Ch17,2525100.712664,2525100.7080078125,1.9466970550463818
PB20.13.28_Comb21Ch18,2565078.740008,2565078.7353515625,2.4556098093720182
PB20.13.28_Comb21Ch19,2648391.728289,2648391.7236328125,1.6409395660041823
PB20.13.28_Comb21Ch20,2718963.627703,2718963.623046875,1.047554681922434
PB20.13.28_Comb21Ch21,2806625.370868,2806625.3662109375,1.480209974006776
PB20.13.28_Comb21Ch22,2875976.567157,2875976.5625,1.766984223694704
PB20.13.28_Comb21Ch23,2940750.126727,2940750.1220703125,1.6722243638761498
PB20.13.28_Comb21Ch24,3018493.657,3018493.65234375,2.0149668800489136
PB20.13.28_Comb21Ch25,3085250.859149,3085250.8544921875,1.6827709220747498
PB20.13.28_Comb21Ch26,3143844.609149,3143844.6044921875,1.3630202591745646
PB20.13.28_Comb21Ch27,3249359.135516,3249359.130859375,1.5991748973532682
PB20.13.28_Comb21Ch28,3313293.461688,3313293.45703125,1.2426114598433002
PB20.13.28_Comb21Ch29,3409042.363055,3409042.3583984375,2.979798673682954
PB20.13.28_Comb21Ch30,3470382.695086,3470382.6904296875,2.411396223130285
PB20.13.28_Comb21Ch31,3568191.532977,3568191.5283203125,1.531454544125978
PB20.13.28_Comb21Ch32,3684005.741961,3684005.7373046875,1.7818517164114442
PB20.13.28_Comb21Ch33,3758087.16286,3758087.158203125,1.573529963916451
PB20.13.28_Comb21Ch34,3822555.546649,3822555.5419921875,2.060701600272707
PB20.13.28_Comb21Ch35,3924484.257586,3924484.2529296875,1.3946812197040084
PB20.13.28_Comb21Ch36,4007568.364032,4007568.359375,1.2969166256260802
PB20.13.28_Comb21Ch37,4134063.72536,4134063.720703125,1.3355881270500267
PB20.13.28_Comb21Ch38,4206466.679461,4206466.6748046875,1.1979897308181944
PB20.13.28_Comb21Ch39,4309463.505633,4309463.5009765625,2.2775959846113443
PB20.13.28_Comb28Ch01,1674041.752703,1674041.748046875,1.7186120950640145
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,1.360799946136677
PB20.13.28_Comb28Ch03,1762847.905047,1762847.900390625,1.3206522161451912
PB20.13.28_Comb28Ch04,1819229.130633,1819229.1259765625,1.3605836610590794
PB20.13.28_Comb28Ch05,1931762.699969,1931762.6953125,1.5350778225630595
PB20.13.28_Comb28Ch06,1983489.994891,1983489.990234375,1.530195751288581
PB20.13.28_Comb28Ch07,2039031.987078,2039031.982421875,1.5508528421168986
PB20.13.28_Comb28Ch08,2096405.033953,2096405.029296875,1.553534013150359
PB20.13.28_Comb28Ch09,2151489.262469,2151489.2578125,1.0912346882575021
PB20.13.28_Comb28Ch10,2212753.300555,2212753.2958984375,2.329068980040817
PB20.13.28_Comb28Ch11,2279891.97243,2279891.9677734375,1.7946180872712345
PB20.13.28_Comb28Ch12,2348327.641375,2348327.63671875,1.5391999680630135
PB20.13.28_Comb28Ch13,2400436.406024,2400436.4013671875,1.627023083896538
PB20.13.28_Comb28Ch14,2465133.671649,2465133.6669921875,2.1725945719971413
PB20.13.28_Comb28Ch15,2538223.271258,2538223.2666015625,1.698875171808222
PB20.13.28_Comb28Ch16,2608642.582782,2608642.578125,1.2805657347893187
PB20.13.28_Comb28Ch17,2662811.283953,2662811.279296875,1.6718800951674013
PB20.13.28_Comb28Ch18,2746047.978289,2746047.9736328125,1.6626924724143988
PB20.13.28_Comb28Ch19,2815856.93825,2815856.93359375,1.1182480820962577
PB20.13.28_Comb28Ch20,2884445.195086,2884445.1904296875,1.898482093280674
PB20.13.28_Comb28Ch21,2959365.849383,2959365.8447265625,1.6911116800538668
PB20.13.28_Comb28Ch22,3037033.085711,3037033.0810546875,1.7089176744326569
PB20.13.28_Comb28Ch23,3104400.639422,3104400.634765625,1.4211621966186487
PB20.13.28_Comb28Ch24,3195800.785907,3195800.78125,1.7997687253772452
PB20.13.28_Comb28Ch25,3257675.175555,3257675.1708984375,1.4870677675176112
PB20.13.28_Comb28Ch26,3348464.970477,3348464.9658203125,1.7884291926797047
PB20.13.28_Comb28Ch27,3433609.013446,3433609.0087890625,1.4792676456392988
PB20.13.28_Comb28Ch28,3525238.041766,3525238.037109375,1.7656558189229563
PB20.13.28_Comb28Ch29,3584594.731219,3584594.7265625,1.6988282172575813
PB20.13.28_Comb28Ch30,3692932.133563,3692932.12890625,1.9595470623611067
PB20.13.28_Comb28Ch31,3784332.280047,3784332.275390625,1.8195930593106062
PB20.13.28_Comb28Ch32,3885955.815203,3885955.810546875,1.6734791846741108
PB20.13.28_Comb28Ch33,3963851.933368,3963851.9287109375,1.704824948642948
PB20.13.28_Comb28Ch34,4056549.076922,4056549.072265625,1.5631847568004864
PB20.13.28_Comb28Ch35,4253921.513446,4253921.5087890625,1.5704237061467934
PB20.13.28_Comb28Ch36,4341812.138446,4341812.1337890625,1.2960928886471297
PB20.13.28_Comb28Ch37,4448699.955828,4448699.951171875,1.526519607811441
PB20.13.28_Comb28Ch38,4442901.615985,4442901.611328125,1.7428795855191905
PB20.13.15_Comb06Ch01,1738891.606219,1738891.6015625,1.5614631662929097
PB20.13.15_Comb06Ch02,2143630.986102,2143630.9814453125,1.0001661833912485
PB20.13.15_Comb06Ch03,2287292.485125,2287292.48046875,1.703957446366355
PB20.13.15_Comb06Ch04,2809677.12868,2809677.1240234375,0.9275456951352188
PB20.13.15_Comb06Ch05,3058090.214618,3058090.2099609375,1.6318529881864328
PB20.13.15_Comb06Ch06,3252258.305438,3252258.30078125,1.37051141883479
PB20.13.15_Comb06Ch07,3439178.471453,3439178.466796875,1.3118627112605346
PB20.13.15_Comb06Ch08,3913421.635516,3913421.630859375,1.40424243799944
PB20.13.15_Comb06Ch09,4128799.443133,4128799.4384765625,1.2089214880421775
PB20.13.15_Comb06Ch10,4374313.359149,NaN,NaN
PB20.13.11_Comb11Ch01,1632385.258563,1632385.25390625,1.3456392940354946
PB20.13.11_Comb11Ch02,1687316.899188,1687316.89453125,1.3324524933972377
PB20.13.11_Comb11Ch03,1723175.053485,1723175.048828125,3.283173400842247
PB20.13.11_Comb11Ch04,1776275.639422,1776275.634765625,1.1971415978053217
PB20.13.11_Comb11Ch05,1822052.00661,1822052.001953125,1.4110462283844518
PB20.13.11_Comb11Ch06,1887207.035907,1887207.03125,1.5823572867858573
PB20.13.11_Comb11Ch07,1947555.546649,1947555.5419921875,1.6852572092087885
PB20.13.11_Comb11Ch08,1992187.504657,1992187.5,1.5931707160919992
PB20.13.11_Comb11Ch09,2091369.633563,2091369.62890625,1.0567994357166846
PB20.13.11_Comb11Ch10,2150268.559344,2150268.5546875,1.5519913429499645
PB20.13.11_Comb11Ch11,2217636.113055,2217636.1083984375,1.55150398503403
PB20.13.11_Comb11Ch12,2307205.204852,2307205.2001953125,1.6140161239391089
PB20.13.11_Comb11Ch13,2331466.679461,2331466.6748046875,1.609038938462911
PB20.13.11_Comb11Ch14,2421646.122821,2421646.1181640625,1.432163278034649
PB20.13.11_Comb11Ch15,2472457.890399,2472457.8857421875,1.6144115717026282
PB20.13.11_Comb11Ch16,2563552.861102,2563552.8564453125,1.3557710380683683
PB20.13.11_Comb11Ch17,2609176.640399,2609176.6357421875,3.9067583032079423
PB20.13.11_Comb11Ch18,2664718.632586,2664718.6279296875,1.5087355307497323
PB20.13.11_Comb11Ch19,2743759.15993,NaN,NaN
PB20.13.11_Comb11Ch20,2821197.514422,2821197.509765625,1.365608690177101
PB20.13.11_Comb11Ch21,2883911.137469,2883911.1328125,1.626602959992064
PB20.13.11_Comb11Ch22,2976379.399188,2976379.39453125,1.608159525483608
PB20.13.11_Comb11Ch23,3038558.964618,3038558.9599609375,1.420579146818783
PB20.13.11_Comb11Ch24,3141708.37868,3141708.3740234375,1.408420533168731
PB20.13.11_Comb11Ch25,3185348.515399,3185348.5107421875,1.247551425407636
PB20.13.11_Comb11Ch26,3270568.852313,3270568.84765625,1.387578630554697
PB20.13.11_Comb11Ch27,3350830.082782,3350830.078125,1.4472853988823693
PB20.13.11_Comb11Ch28,3457336.430438,3457336.42578125,1.6554383680938278
PB20.13.11_Comb11Ch29,3526306.157,3526306.15234375,1.6743993359974243
PB20.13.11_Comb11Ch30,3590087.895282,3590087.890625,1.3712572032421138
PB20.13.11_Comb11Ch31,3686752.323993,3686752.3193359375,1.685308810249632
PB20.13.11_Comb11Ch32,3805160.527118,3805160.5224609375,1.6228417257684287
PB20.13.11_Comb11Ch33,3880767.826922,3880767.822265625,1.7041462996129177
PB20.13.11_Comb11Ch34,3982620.243914,3982620.2392578125,1.383683123962771
PB20.13.11_Comb11Ch35,4056854.252703,4056854.248046875,1.1947279798020995
PB20.13.11_Comb11Ch36,4163589.482196,4163589.4775390625,1.297839951112304
PB20.13.11_Comb11Ch37,4262542.729266,4262542.724609375,1.4257647339457162
PB20.13.11_Comb11Ch38,4370498.661883,4370498.6572265625,1.7406503221728886
PB20.13.11_Comb28Ch01,1677398.686297,1677398.681640625,1.2290278500840575
PB20.13.11_Comb28Ch02,1723403.935321,1723403.9306640625,1.3622904834024427
PB20.13.11_Comb28Ch03,1784973.149188,1784973.14453125,1.3041330809973783
PB20.13.11_Comb28Ch04,1845932.011493,1845932.0068359375,1.260557338381449
PB20.13.11_Comb28Ch05,1888885.502703,1888885.498046875,1.5045099000064084
PB20.13.11_Comb28Ch06,1935653.69118,1935653.6865234375,1.5411815778396658
PB20.13.11_Comb28Ch07,2003021.244891,2003021.240234375,1.4915949518251632
PB20.13.11_Comb28Ch08,2131042.485125,2131042.48046875,1.113523663473145
PB20.13.11_Comb28Ch09,2242507.939227,2242507.9345703125,1.425164356526393
PB20.13.11_Comb28Ch10,2290725.712664,2290725.7080078125,1.52042416046615
PB20.13.11_Comb28Ch11,2369384.770282,2369384.765625,1.4173535194903883
PB20.13.11_Comb28Ch12,2413482.670672,2413482.666015625,1.3358621782001343
PB20.13.11_Comb28Ch13,2465667.729266,2465667.724609375,1.613371262071155
PB20.13.11_Comb28Ch14,2553100.590594,2553100.5859375,1.3427248746985503
PB20.13.11_Comb28Ch15,2602386.479266,2602386.474609375,1.6840477400358729
PB20.13.11_Comb28Ch16,2767562.870868,2767562.8662109375,1.1969866466743717
PB20.13.11_Comb28Ch17,2963714.604266,2963714.599609375,1.547157819388495
PB20.13.11_Comb28Ch18,3060913.090594,3060913.0859375,1.3601257571798748
PB20.13.11_Comb28Ch19,3189697.270282,3189697.265625,1.4214139200503446
PB20.13.11_Comb28Ch20,3347854.618914,3347854.6142578125,1.3945067489583831
PB20.13.11_Comb28Ch21,3452148.442157,3452148.4375,1.538009682961816
PB20.13.11_Comb28Ch22,3519744.877703,3519744.873046875,1.611521052607968
PB20.13.11_Comb28Ch23,3786697.392352,3786697.3876953125,1.4863981259022934
PB20.13.11_Comb28Ch24,3861236.576922,3861236.572265625,1.5456544913744505
PB20.13.11_Comb28Ch25,3976821.904071,3976821.8994140625,1.2639450691456624
PB20.13.11_Comb28Ch26,4064254.765399,4064254.7607421875,1.2636686855938382
PB20.13.11_Comb28Ch27,4241561.894305,4241561.8896484375,1.2882919785015794
PB20.13.11_Comb28Ch28,4366607.670672,4366607.666015625,1.3721445078323353
PB20.13.15_Comb22Ch01,1648635.868914,1648635.8642578125,1.4052054475590563
PB20.13.15_Comb22Ch02,1693878.178485,1693878.173828125,1.497429284221507
PB20.13.15_Comb22Ch03,1747817.997821,1747817.9931640625,1.4466891369476662
PB20.13.15_Comb22Ch04,1804504.399188,1804504.39453125,1.4111099057758127
PB20.13.15_Comb22Ch05,1857223.515399,1857223.5107421875,1.6092246940197528
PB20.13.15_Comb22Ch06,1901855.473407,1901855.46875,1.6942974014611005
PB20.13.15_Comb22Ch07,1962356.572039,1962356.5673828125,1.6777392275112637
PB20.13.15_Comb22Ch08,2026138.310321,2026138.3056640625,1.6449216119607293
PB20.13.15_Comb22Ch09,2075881.962664,2075881.9580078125,1.0611202479357447
PB20.13.15_Comb22Ch10,2150192.265399,2150192.2607421875,1.651714995896439
PB20.13.15_Comb22Ch11,2200927.739032,2200927.734375,1.6391396115397716
PB20.13.15_Comb22Ch12,2316284.184344,2316284.1796875,1.615705334643132
PB20.13.15_Comb22Ch13,2371139.531024,2371139.5263671875,1.4738432037318985
PB20.13.15_Comb22Ch14,2431411.747821,2431411.7431640625,1.6526886123907636
PB20.13.15_Comb22Ch15,2508544.926532,2508544.921875,1.4263251560329107
PB20.13.15_Comb22Ch16,2558135.990985,2558135.986328125,1.7522298493896666
PB20.13.15_Comb22Ch17,2638320.927508,2638320.9228515625,1.7088183303060753
PB20.13.15_Comb22Ch18,2707443.241961,2707443.2373046875,1.0815357408096027
PB20.13.15_Comb22Ch19,2784194.950946,2784194.9462890625,1.5064997132456315
PB20.13.15_Comb22Ch20,2856216.435321,2856216.4306640625,1.7197944358277693
PB20.13.15_Comb22Ch21,2919845.585711,2919845.5810546875,1.6405887097251874
PB20.13.15_Comb22Ch22,3001327.519305,3001327.5146484375,1.4961172963686222
PB20.13.15_Comb22Ch23,3070831.303485,3070831.298828125,1.3940507575902985
PB20.13.15_Comb22Ch24,3138885.502703,3138885.498046875,1.4612818034622828
PB20.13.15_Comb22Ch25,3226928.715594,3226928.7109375,1.4866025243648264
PB20.13.15_Comb22Ch26,3298950.199969,3298950.1953125,1.4309844982685607
PB20.13.15_Comb22Ch27,3390731.81618,3390731.8115234375,1.8357994446507344
PB20.13.15_Comb22Ch28,3457946.782,3457946.77734375,1.754944771718389
PB20.13.15_Comb22Ch29,3552780.156024,3552780.1513671875,1.4354557684280635
PB20.13.15_Comb22Ch30,3652191.166766,3652191.162109375,1.7740612995228238
PB20.13.15_Comb22Ch31,3728790.28786,3728790.283203125,1.673148383139816
PB20.13.15_Comb22Ch32,3803405.766375,3803405.76171875,1.6381245253621306
PB20.13.15_Comb22Ch33,3904953.007586,3904953.0029296875,1.3734049220908628
PB20.13.15_Comb22Ch34,3992996.220477,3992996.2158203125,1.388092863383132
PB20.13.15_Comb22Ch35,4103240.971453,4103240.966796875,1.3522973843653692
PB20.13.15_Comb22Ch36,4179382.328875,4179382.32421875,1.3020839939477942
PB20.13.15_Comb22Ch37,4291000.370868,4291000.3662109375,1.7859458232928316
PB20.13.15_Comb22Ch38,4298706.059344,4298706.0546875,1.405461331781942
PB20.13.28_Comb05Ch01,1694564.823993,1694564.8193359375,1.614754511650379
PB20.13.28_Comb05Ch02,1748046.879657,1748046.875,1.3566723716992535
PB20.13.28_Comb05Ch03,1784591.679461,1784591.6748046875,2.2181214517359362
PB20.13.28_Comb05Ch04,1846771.244891,1846771.240234375,1.3148844556326578
