Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.13_Comb05Ch40,4388046.269305,4388046.2646484375,0.31091604635888875
PB20.13.11_Comb13Ch40,4410171.513446,4410171.5087890625,0.2828313873955296
PB20.13.12_Comb03Ch40,4396209.721453,4396209.716796875,0.37009958303793616
PB20.13.11_Comb18Ch40,4412689.213641,4412689.208984375,0.34630082504833287
PB20.13.11_Comb07Ch40,4368209.843524,4368209.8388671875,0.5768269982089315
PB20.13.12_Comb04Ch40,4343032.841571,4343032.8369140625,0.38323456555923613
PB20.13.31_Comb24Ch40,4390792.851336,4390792.8466796875,0.4239936716094304
PB20.13.10_Comb29Ch40,4383010.868914,4383010.8642578125,0.28748911958955703
