Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch01,1633834.843524,1633834.8388671875,1.372776000552513
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,1.2792132023524847
PB20.13.28_Comb21Ch03,1699981.69411,1699981.689453125,2.3544839959347423
PB20.13.28_Comb21Ch04,1753692.63161,1753692.626953125,1.3624363559035757
PB20.13.28_Comb21Ch05,1814193.730243,1814193.7255859375,1.4556556732901964
PB20.13.28_Comb21Ch06,1871643.071063,NaN,NaN
PB20.13.28_Comb21Ch07,1914138.798602,NaN,NaN
PB20.13.28_Comb21Ch08,1971740.727313,1971740.72265625,2.084703092077853
PB20.13.28_Comb21Ch09,2043838.505633,2043838.5009765625,1.6210219505413503
PB20.13.28_Comb21Ch10,2086868.290789,2086868.2861328125,1.0667420730459987
PB20.13.28_Comb21Ch11,2162323.002703,2162322.998046875,1.8771998768102016
PB20.13.28_Comb21Ch12,2214660.649188,NaN,NaN
PB20.13.28_Comb21Ch13,2264099.12575,2264099.12109375,2.8973038578622017
PB20.13.28_Comb21Ch14,2326736.454852,2326736.4501953125,1.6331088072564026
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,1.7262693870737482
PB20.13.28_Comb21Ch16,2444610.60036,2444610.595703125,1.6653319092771146
PB20.13.28_Comb21Ch17,2525100.712664,2525100.7080078125,1.9468519177717818
PB20.13.28_Comb21Ch18,2565078.740008,2565078.7353515625,2.4554552494329855
PB20.13.28_Comb21Ch19,2648391.728289,2648391.7236328125,1.6332976805960726
PB20.13.28_Comb21Ch20,2718963.627703,2718963.623046875,1.0450182727076656
PB20.13.28_Comb21Ch21,2806625.370868,2806625.3662109375,1.4792916834503422
PB20.13.28_Comb21Ch22,2875976.567157,2875976.5625,1.7549991181600022
PB20.13.28_Comb21Ch23,2940750.126727,2940750.1220703125,1.659255627479211
PB20.13.28_Comb21Ch24,3018493.657,3018493.65234375,2.0142576373359744
PB20.13.28_Comb21Ch25,3085250.859149,3085250.8544921875,1.6813375438265519
PB20.13.28_Comb21Ch26,3143844.609149,NaN,NaN
PB20.13.28_Comb21Ch27,3249359.135516,3249359.130859375,1.5975887171988583
PB20.13.28_Comb21Ch28,3313293.461688,3313293.45703125,1.2410803618264543
PB20.13.28_Comb21Ch29,3409042.363055,3409042.3583984375,2.9590331745647678
PB20.13.28_Comb21Ch30,3470382.695086,3470382.6904296875,2.3916181847055613
PB20.13.28_Comb21Ch31,3568191.532977,3568191.5283203125,1.5301409673351736
PB20.13.28_Comb21Ch32,3684005.741961,3684005.7373046875,1.7601791457363143
PB20.13.28_Comb21Ch33,3758087.16286,3758087.158203125,1.5523271453448124
PB20.13.28_Comb21Ch34,3822555.546649,3822555.5419921875,2.041497683612602
PB20.13.28_Comb21Ch35,3924484.257586,3924484.2529296875,1.396598911473924
PB20.13.28_Comb21Ch36,4007568.364032,4007568.359375,1.2992693192746587
PB20.13.28_Comb21Ch37,4134063.72536,4134063.720703125,1.3364791209347622
PB20.13.28_Comb21Ch38,4206466.679461,4206466.6748046875,1.1978398460434139
PB20.13.28_Comb21Ch39,4309463.505633,4309463.5009765625,2.2640836927205963
PB20.13.28_Comb28Ch01,1674041.752703,1674041.748046875,1.7314074689030214
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,1.3718336558023407
PB20.13.28_Comb28Ch03,1762847.905047,1762847.900390625,1.3315599081382925
PB20.13.28_Comb28Ch04,1819229.130633,1819229.1259765625,1.3724875566291468
PB20.13.28_Comb28Ch05,1931762.699969,1931762.6953125,1.5492343525893497
PB20.13.28_Comb28Ch06,1983489.994891,1983489.990234375,1.5448850001649534
PB20.13.28_Comb28Ch07,2039031.987078,2039031.982421875,1.5656094948419998
PB20.13.28_Comb28Ch08,2096405.033953,2096405.029296875,1.569200376833239
PB20.13.28_Comb28Ch09,2151489.262469,2151489.2578125,1.1019342799859853
PB20.13.28_Comb28Ch10,2212753.300555,2212753.2958984375,2.354055795640197
PB20.13.28_Comb28Ch11,2279891.97243,2279891.9677734375,1.8129228416266983
PB20.13.28_Comb28Ch12,2348327.641375,2348327.63671875,1.5553244609778714
PB20.13.28_Comb28Ch13,2400436.406024,2400436.4013671875,1.6437420590155958
PB20.13.28_Comb28Ch14,2465133.671649,2465133.6669921875,2.195832427378536
PB20.13.28_Comb28Ch15,2538223.271258,2538223.2666015625,1.7164866902623257
PB20.13.28_Comb28Ch16,2608642.582782,2608642.578125,1.2946147388200961
PB20.13.28_Comb28Ch17,2662811.283953,2662811.279296875,1.6879226322477061
PB20.13.28_Comb28Ch18,2746047.978289,2746047.9736328125,1.680500305810818
PB20.13.28_Comb28Ch19,2815856.93825,2815856.93359375,1.1256307632574967
PB20.13.28_Comb28Ch20,2884445.195086,2884445.1904296875,1.9169217441751651
PB20.13.28_Comb28Ch21,2959365.849383,2959365.8447265625,1.7060461847268416
PB20.13.28_Comb28Ch22,3037033.085711,3037033.0810546875,1.7210669926706161
PB20.13.28_Comb28Ch23,3104400.639422,3104400.634765625,1.4338325097291413
PB20.13.28_Comb28Ch24,3195800.785907,3195800.78125,1.8158295215758011
PB20.13.28_Comb28Ch25,3257675.175555,3257675.1708984375,1.5004562836256057
PB20.13.28_Comb28Ch26,3348464.970477,3348464.9658203125,1.8067549230065951
PB20.13.28_Comb28Ch27,3433609.013446,3433609.0087890625,1.4930083278282358
PB20.13.28_Comb28Ch28,3525238.041766,3525238.037109375,1.7739597145550214
PB20.13.28_Comb28Ch29,3584594.731219,3584594.7265625,1.7063031330326468
PB20.13.28_Comb28Ch30,3692932.133563,3692932.12890625,1.9768523705915382
PB20.13.28_Comb28Ch31,3784332.280047,3784332.275390625,1.8331889793176197
PB20.13.28_Comb28Ch32,3885955.815203,3885955.810546875,1.6824876934630721
PB20.13.28_Comb28Ch33,3963851.933368,3963851.9287109375,1.7172877853035997
PB20.13.28_Comb28Ch34,4056549.076922,4056549.072265625,1.5795637254828254
PB20.13.28_Comb28Ch35,4253921.513446,4253921.5087890625,1.5860386306918604
PB20.13.28_Comb28Ch36,4341812.138446,4341812.1337890625,1.3085939065318555
PB20.13.28_Comb28Ch37,4448699.955828,4448699.951171875,1.540892431709765
PB20.13.28_Comb28Ch38,4442901.615985,4442901.611328125,1.753840741280413
PB20.13.15_Comb06Ch01,1738891.606219,1738891.6015625,1.562374279675087
PB20.13.15_Comb06Ch02,2143630.986102,2143630.9814453125,0.9961675430601359
PB20.13.15_Comb06Ch03,2287292.485125,2287292.48046875,1.7066951339727485
PB20.13.15_Comb06Ch04,2809677.12868,2809677.1240234375,0.9319209477005035
PB20.13.15_Comb06Ch05,3058090.214618,3058090.2099609375,1.6359489004748347
PB20.13.15_Comb06Ch06,3252258.305438,3252258.30078125,1.3747049723727514
PB20.13.15_Comb06Ch07,3439178.471453,3439178.466796875,1.3163421615053144
PB20.13.15_Comb06Ch08,3913421.635516,3913421.630859375,1.409066529431563
PB20.13.15_Comb06Ch09,4128799.443133,4128799.4384765625,1.2133451690694377
PB20.13.15_Comb06Ch10,4374313.359149,NaN,NaN
PB20.13.11_Comb11Ch01,1632385.258563,1632385.25390625,1.3423602711664269
PB20.13.11_Comb11Ch02,1687316.899188,1687316.89453125,1.3301762809047306
PB20.13.11_Comb11Ch03,1723175.053485,1723175.048828125,3.460414881585017
PB20.13.11_Comb11Ch04,1776275.639422,1776275.634765625,1.1964656880991482
PB20.13.11_Comb11Ch05,1822052.00661,1822052.001953125,1.4084865865066716
PB20.13.11_Comb11Ch06,1887207.035907,1887207.03125,1.5793950843011082
PB20.13.11_Comb11Ch07,1947555.546649,1947555.5419921875,1.6848895140353142
PB20.13.11_Comb11Ch08,1992187.504657,1992187.5,1.5902155744963953
PB20.13.11_Comb11Ch09,2091369.633563,2091369.62890625,1.0570292399722176
PB20.13.11_Comb11Ch10,2150268.559344,2150268.5546875,1.549802104124386
PB20.13.11_Comb11Ch11,2217636.113055,2217636.1083984375,1.5498936004290034
PB20.13.11_Comb11Ch12,2307205.204852,2307205.2001953125,1.6122455807378846
PB20.13.11_Comb11Ch13,2331466.679461,2331466.6748046875,1.607020879606979
PB20.13.11_Comb11Ch14,2421646.122821,2421646.1181640625,1.4305595755082028
PB20.13.11_Comb11Ch15,2472457.890399,2472457.8857421875,1.613816194753744
PB20.13.11_Comb11Ch16,2563552.861102,2563552.8564453125,1.3555793582143951
PB20.13.11_Comb11Ch17,2609176.640399,2609176.6357421875,3.990096336009034
PB20.13.11_Comb11Ch18,2664718.632586,2664718.6279296875,1.506784383111472
PB20.13.11_Comb11Ch19,2743759.15993,NaN,NaN
PB20.13.11_Comb11Ch20,2821197.514422,2821197.509765625,1.364463880922861
PB20.13.11_Comb11Ch21,2883911.137469,2883911.1328125,1.6264898659205693
PB20.13.11_Comb11Ch22,2976379.399188,2976379.39453125,1.6076129276374218
PB20.13.11_Comb11Ch23,3038558.964618,3038558.9599609375,1.4210290290226613
PB20.13.11_Comb11Ch24,3141708.37868,3141708.3740234375,1.4085536633151428
PB20.13.11_Comb11Ch25,3185348.515399,3185348.5107421875,1.2473175315173342
PB20.13.11_Comb11Ch26,3270568.852313,3270568.84765625,1.3874017873251427
PB20.13.11_Comb11Ch27,3350830.082782,3350830.078125,1.4504178012158297
PB20.13.11_Comb11Ch28,3457336.430438,3457336.42578125,1.6565605557892353
PB20.13.11_Comb11Ch29,3526306.157,3526306.15234375,1.6755938244120918
PB20.13.11_Comb11Ch30,3590087.895282,3590087.890625,1.3720266334938742
PB20.13.11_Comb11Ch31,3686752.323993,3686752.3193359375,1.6855291426592327
PB20.13.11_Comb11Ch32,3805160.527118,3805160.5224609375,1.6217240270508426
PB20.13.11_Comb11Ch33,3880767.826922,3880767.822265625,1.7065436280914055
PB20.13.11_Comb11Ch34,3982620.243914,3982620.2392578125,1.3860489693803344
PB20.13.11_Comb11Ch35,4056854.252703,4056854.248046875,1.1961467046385503
PB20.13.11_Comb11Ch36,4163589.482196,4163589.4775390625,1.297341885149122
PB20.13.11_Comb11Ch37,4262542.729266,4262542.724609375,1.4285014690892164
PB20.13.11_Comb11Ch38,4370498.661883,4370498.6572265625,1.7426719863210258
PB20.13.11_Comb28Ch01,1677398.686297,1677398.681640625,1.2308168493440146
PB20.13.11_Comb28Ch02,1723403.935321,1723403.9306640625,1.3662901841551889
PB20.13.11_Comb28Ch03,1784973.149188,1784973.14453125,1.3081534468017204
PB20.13.11_Comb28Ch04,1845932.011493,1845932.0068359375,1.2632154015021007
PB20.13.11_Comb28Ch05,1888885.502703,1888885.498046875,1.5089590018990877
PB20.13.11_Comb28Ch06,1935653.69118,1935653.6865234375,1.5450648452592528
PB20.13.11_Comb28Ch07,2003021.244891,2003021.240234375,1.4945876915740979
PB20.13.11_Comb28Ch08,2131042.485125,2131042.48046875,1.1161000007000326
PB20.13.11_Comb28Ch09,2242507.939227,2242507.9345703125,1.4288305542539235
PB20.13.11_Comb28Ch10,2290725.712664,2290725.7080078125,1.522832781148864
PB20.13.11_Comb28Ch11,2369384.770282,2369384.765625,1.4203463525370892
PB20.13.11_Comb28Ch12,2413482.670672,2413482.666015625,1.3397664629155241
PB20.13.11_Comb28Ch13,2465667.729266,2465667.724609375,1.6187253074450427
PB20.13.11_Comb28Ch14,2553100.590594,2553100.5859375,1.3463683908936788
PB20.13.11_Comb28Ch15,2602386.479266,2602386.474609375,1.6909149568556745
PB20.13.11_Comb28Ch16,2767562.870868,2767562.8662109375,1.2021548557538118
