Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,0.19731408937462075
PB20.13.28_Comb28Ch15,2538146.977313,2538146.97265625,0.45979854674139786
PB20.13.15_Comb06Ch15,4276885.990985,4276885.986328125,239.07141016190502
PB20.13.11_Comb11Ch15,2472457.890399,2472457.8857421875,0.5375893220675385
PB20.13.11_Comb28Ch15,2602310.185321,2602310.1806640625,0.45815350063543364
PB20.13.15_Comb22Ch15,2508544.926532,2508544.921875,0.35320244651606963
PB20.13.12_Comb12Ch15,2433395.390399,2433395.3857421875,0.28908373315502756
PB20.13.15_Comb24Ch15,2818222.050555,2818222.0458984375,0.22174743147051076
PB20.13.15_Comb30Ch15,2533111.576922,2533111.572265625,0.6276699992576903
PB20.13.12_Comb21Ch15,2533874.516375,2533874.51171875,0.52960738712673
PB20.13.15_Comb08Ch15,3678665.165789,3678665.1611328125,0.11434454863014498
PB20.13.11_Comb15Ch15,2584228.520282,2584228.515625,0.18671701810702643
PB20.13.15_Comb13Ch15,2426605.229266,2426605.224609375,0.15647329997134385
PB20.13.13_Comb07Ch15,2568817.143328,2568817.138671875,0.160412749485184
PB20.13.28_Comb17Ch15,2422332.768328,2422332.763671875,0.12873802467772064
PB20.13.28_Comb29Ch15,2748718.266375,2748718.26171875,0.6579884242189609
PB20.13.12_Comb29Ch15,2416687.016375,2416687.01171875,0.19541569992758967
PB20.13.13_Comb24Ch15,2479858.403094,2479858.3984375,0.2552999162697692
PB20.13.31_Comb17Ch15,2522048.954852,2522048.9501953125,0.22806831726116977
PB20.13.13_Comb05Ch15,2434234.623797,2434234.619140625,0.25307862865501723
PB20.13.10_Comb16Ch15,2745056.157,2745056.15234375,0.5338610953422639
PB20.13.10_Comb24Ch15,2384643.559344,2384643.5546875,0.555298020259499
PB20.13.12_Comb23Ch15,2409591.679461,2409591.6748046875,0.32109237511833283
PB20.13.11_Comb16Ch15,2481002.812274,2481002.8076171875,0.24660891560723391
PB20.13.10_Comb28Ch15,2436752.323993,2436752.3193359375,0.36708213308222687
PB20.13.10_Comb26Ch15,2396774.296649,2396774.2919921875,0.30389523021496434
PB20.13.15_Comb21Ch15,2613067.63161,2613067.626953125,0.2994830360509099
PB20.13.28_Comb23Ch15,2403945.927508,2403945.9228515625,0.3672638190334971
PB20.13.28_Comb04Ch15,2723922.734149,2723922.7294921875,0.4279706517285882
PB20.13.15_Comb26Ch15,2484283.451922,2484283.447265625,0.32284423440797
PB20.13.15_Comb10Ch15,2422180.180438,2422180.17578125,0.30784915759522463
PB20.13.31_Comb15Ch15,2365417.485125,2365417.48046875,0.5610804237141153
PB20.13.31_Comb12Ch15,2432708.744891,2432708.740234375,0.21580893542683335
PB20.13.13_Comb03Ch15,2460708.622821,2460708.6181640625,0.36700766181207944
PB20.13.10_Comb01Ch15,2415466.31325,2415466.30859375,0.30784001520023346
PB20.13.12_Comb09Ch15,2422409.062274,2422409.0576171875,0.25673464232799886
PB20.13.28_Comb30Ch15,4273223.88161,4273223.876953125,213.8598843737174
PB20.13.31_Comb21Ch15,2476196.293719,2476196.2890625,0.28260252642125744
PB20.13.11_Comb13Ch15,2446136.479266,2446136.474609375,0.1745649048726718
PB20.13.15_Comb04Ch15,2419738.774188,2419738.76953125,0.5119091158288589
PB20.13.28_Comb24Ch15,2466659.550555,2466659.5458984375,0.29865924817863476
PB20.13.12_Comb27Ch15,2698059.086688,2698059.08203125,0.6405129844951918
PB20.13.31_Comb19Ch15,2522888.18825,2522888.18359375,0.21808052630312935
PB20.13.31_Comb28Ch15,2509841.923602,2509841.9189453125,0.31628926419742054
PB20.13.12_Comb01Ch15,2856063.84743,2856063.8427734375,0.6394559478482672
PB20.13.11_Comb03Ch15,2522048.954852,2522048.9501953125,0.29543331908762777
PB20.13.11_Comb24Ch15,4488830.571063,4488830.56640625,123.40084543775242
PB20.13.11_Comb06Ch15,4060821.53786,4060821.533203125,0.5653451712967013
PB20.13.10_Comb02Ch15,2469635.014422,2469635.009765625,0.16673414251287874
PB20.13.10_Comb17Ch15,2565917.973407,2565917.96875,0.43310385688859243
PB20.13.13_Comb02Ch15,2489242.558368,2489242.5537109375,0.4369838500706859
PB20.13.13_Comb19Ch15,2655487.065203,2655487.060546875,0.15187020747674165
