Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.12_Comb12Ch01,1642532.353289,NaN,NaN
PB20.13.12_Comb12Ch02,1687622.074969,NaN,NaN
PB20.13.12_Comb12Ch03,1743392.948993,NaN,NaN
PB20.13.12_Comb12Ch04,1791458.134539,NaN,NaN
PB20.13.12_Comb12Ch05,1832504.277118,NaN,NaN
PB20.13.12_Comb12Ch06,1895065.312274,NaN,NaN
PB20.13.12_Comb12Ch07,1950836.186297,NaN,NaN
PB20.13.12_Comb12Ch08,2006149.296649,NaN,NaN
PB20.13.12_Comb12Ch09,2059936.528094,NaN,NaN
PB20.13.12_Comb12Ch10,2110900.883563,2110900.87890625,0.1622887788065241
PB20.13.12_Comb12Ch11,2174301.152118,NaN,NaN
PB20.13.12_Comb12Ch12,2236480.717547,NaN,NaN
PB20.13.12_Comb12Ch13,2306747.44118,NaN,NaN
PB20.13.12_Comb12Ch14,2358016.97243,NaN,NaN
PB20.13.12_Comb12Ch15,2433395.390399,NaN,NaN
PB20.13.12_Comb12Ch16,2496490.483172,NaN,NaN
PB20.13.12_Comb12Ch17,2557373.051532,NaN,NaN
PB20.13.12_Comb12Ch18,2637176.518328,NaN,NaN
PB20.13.12_Comb12Ch19,2698974.614032,NaN,NaN
PB20.13.12_Comb12Ch20,2765960.698016,NaN,NaN
PB20.13.12_Comb12Ch21,2833099.369891,NaN,NaN
PB20.13.12_Comb12Ch22,2908782.963641,NaN,NaN
PB20.13.12_Comb12Ch23,2985458.37868,NaN,NaN
PB20.13.12_Comb12Ch24,3044891.362078,NaN,NaN
PB20.13.12_Comb12Ch25,3144836.430438,NaN,NaN
PB20.13.12_Comb12Ch26,3230438.237078,NaN,NaN
PB20.13.12_Comb12Ch27,3292388.920672,NaN,NaN
PB20.13.12_Comb12Ch28,3389511.113055,NaN,NaN
PB20.13.12_Comb12Ch29,3461837.773211,NaN,NaN
PB20.13.12_Comb12Ch30,3635864.262469,NaN,NaN
PB20.13.12_Comb12Ch31,3720016.484149,NaN,NaN
PB20.13.12_Comb12Ch32,3808975.224383,NaN,NaN
PB20.13.12_Comb12Ch33,3907394.413836,NaN,NaN
PB20.13.12_Comb12Ch34,3982696.53786,NaN,NaN
PB20.13.12_Comb12Ch35,4094467.167743,NaN,NaN
PB20.13.12_Comb12Ch36,4182662.968524,NaN,NaN
PB20.13.12_Comb12Ch37,4276351.933368,NaN,NaN
PB20.13.12_Comb21Ch01,1688385.014422,NaN,NaN
PB20.13.12_Comb21Ch02,1767425.541766,NaN,NaN
PB20.13.12_Comb21Ch03,1822204.5945,NaN,NaN
PB20.13.12_Comb21Ch04,1874084.477313,NaN,NaN
PB20.13.12_Comb21Ch05,1948318.486102,NaN,NaN
PB20.13.12_Comb21Ch06,1992950.44411,NaN,NaN
PB20.13.12_Comb21Ch07,2046890.263446,NaN,NaN
PB20.13.12_Comb21Ch08,2113113.407977,NaN,NaN
PB20.13.12_Comb21Ch09,2149200.44411,NaN,NaN
PB20.13.12_Comb21Ch10,2229690.556414,2229690.5517578125,0.8542828247523572
PB20.13.12_Comb21Ch11,2288665.776141,NaN,NaN
PB20.13.12_Comb21Ch12,2351913.456805,NaN,NaN
PB20.13.12_Comb21Ch13,2401046.757586,NaN,NaN
PB20.13.12_Comb21Ch14,2473754.887469,NaN,NaN
PB20.13.12_Comb21Ch15,2533874.516375,NaN,NaN
PB20.13.12_Comb21Ch16,2627792.363055,NaN,NaN
PB20.13.12_Comb21Ch17,2665176.396258,NaN,NaN
PB20.13.12_Comb21Ch18,2911987.309344,NaN,NaN
PB20.13.12_Comb21Ch19,3054504.399188,NaN,NaN
PB20.13.12_Comb21Ch20,3123245.243914,NaN,NaN
PB20.13.12_Comb21Ch21,3207244.877703,NaN,NaN
PB20.13.12_Comb21Ch22,3257141.117938,NaN,NaN
PB20.13.12_Comb21Ch23,3356246.952899,NaN,NaN
PB20.13.12_Comb21Ch24,3435287.480243,NaN,NaN
PB20.13.12_Comb21Ch25,3541793.827899,NaN,NaN
PB20.13.12_Comb21Ch26,3601379.399188,NaN,NaN
PB20.13.12_Comb21Ch27,3684539.799578,NaN,NaN
PB20.13.12_Comb21Ch28,3908233.647235,NaN,NaN
PB20.13.12_Comb21Ch29,3976593.022235,NaN,NaN
PB20.13.12_Comb21Ch30,4072189.335711,NaN,NaN
PB20.13.12_Comb21Ch31,4141006.474383,NaN,NaN
PB20.13.12_Comb21Ch32,4281845.09743,NaN,NaN
PB20.13.12_Comb21Ch33,4361572.270282,NaN,NaN
PB20.13.12_Comb21Ch34,4462356.572039,NaN,NaN
PB20.13.10_Comb19Ch01,1627578.740008,NaN,NaN
PB20.13.10_Comb19Ch02,1676712.040789,NaN,NaN
PB20.13.10_Comb19Ch03,1702651.982196,NaN,NaN
PB20.13.10_Comb19Ch04,1766891.484149,NaN,NaN
PB20.13.10_Comb19Ch05,1829605.107196,NaN,NaN
PB20.13.10_Comb19Ch06,1877059.94118,NaN,NaN
PB20.13.10_Comb19Ch07,1933288.578875,NaN,NaN
PB20.13.10_Comb19Ch08,1987228.398211,NaN,NaN
PB20.13.10_Comb19Ch09,2025680.546649,NaN,NaN
PB20.13.10_Comb19Ch10,2097091.679461,2097091.6748046875,1.1606752301050853
PB20.13.10_Comb19Ch11,2143096.928485,NaN,NaN
PB20.13.10_Comb19Ch12,2214355.473407,NaN,NaN
PB20.13.10_Comb19Ch13,2295761.113055,NaN,NaN
PB20.13.10_Comb19Ch14,2336349.491961,NaN,NaN
PB20.13.10_Comb19Ch15,2402038.578875,NaN,NaN
PB20.13.10_Comb19Ch16,2440567.021258,NaN,NaN
PB20.13.10_Comb19Ch17,2551651.005633,NaN,NaN
PB20.13.10_Comb19Ch18,2571640.019305,NaN,NaN
PB20.13.10_Comb19Ch19,2631073.002703,NaN,NaN
PB20.13.10_Comb19Ch20,2740020.75661,2740020.751953125,1.2060488269959582
PB20.13.10_Comb19Ch21,2800827.031024,NaN,NaN
PB20.13.10_Comb19Ch22,2856826.786883,NaN,NaN
PB20.13.10_Comb19Ch23,2946548.466571,NaN,NaN
