Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch01,1633834.843524,1633834.8388671875,1.3696774659528175
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,1.277230688534729
PB20.13.28_Comb21Ch03,1699981.69411,1699981.689453125,2.35133872048698
PB20.13.28_Comb21Ch04,1753692.63161,1753692.626953125,1.3606961518523955
PB20.13.28_Comb21Ch05,1814193.730243,1814193.7255859375,1.4533848800332507
PB20.13.28_Comb21Ch06,1871643.071063,1871643.06640625,1.5674706104179124
PB20.13.28_Comb21Ch07,1914138.798602,1914138.7939453125,2.1009886880018396
PB20.13.28_Comb21Ch08,1971740.727313,1971740.72265625,2.085738926623349
PB20.13.28_Comb21Ch09,2043838.505633,2043838.5009765625,1.6208338310914607
PB20.13.28_Comb21Ch10,2086868.290789,2086868.2861328125,1.5600282655329787
PB20.13.28_Comb21Ch11,2162323.002703,2162322.998046875,1.8775354925613097
PB20.13.28_Comb21Ch12,2214660.649188,2214660.64453125,1.5254094221523187
PB20.13.28_Comb21Ch13,2264099.12575,2264099.12109375,2.9013981010706713
PB20.13.28_Comb21Ch14,2326736.454852,2326736.4501953125,1.6370615574800775
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,1.726204456705051
PB20.13.28_Comb21Ch16,2444610.60036,2444610.595703125,1.6717543197873723
PB20.13.28_Comb21Ch17,2525100.712664,2525100.7080078125,1.9476136892942684
PB20.13.28_Comb21Ch18,2565078.740008,2565078.7353515625,2.446376851781676
PB20.13.28_Comb21Ch19,2648391.728289,2648391.7236328125,1.644275941093242
PB20.13.28_Comb21Ch20,2718963.627703,2718963.623046875,1.0487426980811347
PB20.13.28_Comb21Ch21,2806625.370868,2806625.3662109375,1.4823363800631237
PB20.13.28_Comb21Ch22,2875976.567157,2875976.5625,1.7728873141984016
PB20.13.28_Comb21Ch23,2940750.126727,2940750.1220703125,1.679319524923343
PB20.13.28_Comb21Ch24,3018493.657,3018493.65234375,2.0182609913140013
PB20.13.28_Comb21Ch25,3085250.859149,3085250.8544921875,1.6865510841072138
PB20.13.28_Comb21Ch26,3143844.609149,3143844.6044921875,1.3707967035975788
PB20.13.28_Comb21Ch27,3249359.135516,3249359.130859375,1.603095405523983
PB20.13.28_Comb21Ch28,3313293.461688,3313293.45703125,1.24603266894164
PB20.13.28_Comb21Ch29,3409042.363055,3409042.3583984375,2.994984818375254
PB20.13.28_Comb21Ch30,3470382.695086,3470382.6904296875,2.425258592069907
PB20.13.28_Comb21Ch31,3568191.532977,3568191.5283203125,1.535380200196593
PB20.13.28_Comb21Ch32,3684005.741961,3684005.7373046875,1.7977757439576199
PB20.13.28_Comb21Ch33,3758087.16286,3758087.158203125,1.589942058937958
PB20.13.28_Comb21Ch34,3822555.546649,3822555.5419921875,2.076943018326518
PB20.13.28_Comb21Ch35,3924484.257586,3924484.2529296875,1.3981588516968873
PB20.13.28_Comb21Ch36,4007568.364032,4007568.359375,1.3017259059544835
PB20.13.28_Comb21Ch37,4134063.72536,4134063.720703125,1.3399546086802612
PB20.13.28_Comb21Ch38,4206466.679461,4206466.6748046875,1.2037712311952495
PB20.13.28_Comb21Ch39,4309463.505633,4309463.5009765625,2.2922781155202117
PB20.13.28_Comb28Ch01,1674041.752703,1674041.748046875,1.7374881191571356
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,1.377298779616779
PB20.13.28_Comb28Ch03,1762847.905047,1762847.900390625,1.3373579977696592
PB20.13.28_Comb28Ch04,1819229.130633,1819229.1259765625,1.3785562442435964
PB20.13.28_Comb28Ch05,1931762.699969,1931762.6953125,1.5551033708289523
PB20.13.28_Comb28Ch06,1983489.994891,1983489.990234375,1.5514337474002056
PB20.13.28_Comb28Ch07,2039031.987078,2039031.982421875,1.5720114662294833
PB20.13.28_Comb28Ch08,2096405.033953,2096405.029296875,1.5747088914385412
PB20.13.28_Comb28Ch09,2151489.262469,2151489.2578125,1.1044478039192684
PB20.13.28_Comb28Ch10,2212753.300555,2212753.2958984375,2.36280460311501
PB20.13.28_Comb28Ch11,2279891.97243,2279891.9677734375,1.817219137615099
PB20.13.28_Comb28Ch12,2348327.641375,2348327.63671875,1.5581988821566477
PB20.13.28_Comb28Ch13,2400436.406024,2400436.4013671875,1.645404654778409
PB20.13.28_Comb28Ch14,2465133.671649,2465133.6669921875,2.20132628467686
PB20.13.28_Comb28Ch15,2538223.271258,2538223.2666015625,1.7155126497660114
PB20.13.28_Comb28Ch16,2608642.582782,2608642.578125,1.2942489649325044
PB20.13.28_Comb28Ch17,2662811.283953,2662811.279296875,1.6886178945458281
PB20.13.28_Comb28Ch18,2746047.978289,2746047.9736328125,1.6712461778745342
PB20.13.28_Comb28Ch19,2815856.93825,2815856.93359375,1.134422798891344
PB20.13.28_Comb28Ch20,2884445.195086,2884445.1904296875,1.9172753371678537
PB20.13.28_Comb28Ch21,2959365.849383,2959365.8447265625,1.7005087922455788
PB20.13.28_Comb28Ch22,3037033.085711,3037033.0810546875,1.7199156226034895
PB20.13.28_Comb28Ch23,3104400.639422,3104400.634765625,1.4307299099645943
PB20.13.28_Comb28Ch24,3195800.785907,3195800.78125,1.8145390801881123
PB20.13.28_Comb28Ch25,3257675.175555,3257675.1708984375,1.4961005368906577
PB20.13.28_Comb28Ch26,3348464.970477,3348464.9658203125,1.7988516713754805
PB20.13.28_Comb28Ch27,3433609.013446,3433609.0087890625,1.487936912279208
PB20.13.28_Comb28Ch28,3525238.041766,3525238.037109375,1.7726714657285647
PB20.13.28_Comb28Ch29,3584594.731219,3584594.7265625,1.7083735325220542
PB20.13.28_Comb28Ch30,3692932.133563,3692932.12890625,1.9697634085032836
PB20.13.28_Comb28Ch31,3784332.280047,3784332.275390625,1.8251059942886703
PB20.13.28_Comb28Ch32,3885955.815203,3885955.810546875,1.6828290024977002
PB20.13.28_Comb28Ch33,3963851.933368,3963851.9287109375,1.7152358097776719
PB20.13.28_Comb28Ch34,4056549.076922,4056549.072265625,1.5736874596792947
PB20.13.28_Comb28Ch35,4253921.513446,4253921.5087890625,1.5752272218917986
PB20.13.28_Comb28Ch36,4341812.138446,4341812.1337890625,1.2998522954887357
PB20.13.28_Comb28Ch37,4448699.955828,4448699.951171875,1.5385739283962887
PB20.13.28_Comb28Ch38,4442901.615985,4442901.611328125,1.7490676337323834
PB20.13.15_Comb06Ch01,1738891.606219,1738891.6015625,1.5598084908458558
PB20.13.15_Comb06Ch02,2143630.986102,2143630.9814453125,0.9935649525252411
PB20.13.15_Comb06Ch03,2287292.485125,2287292.48046875,1.7054676790725571
PB20.13.15_Comb06Ch04,2809677.12868,2809677.1240234375,0.9377985330963764
PB20.13.15_Comb06Ch05,3058090.214618,3058090.2099609375,1.6379235326741082
PB20.13.15_Comb06Ch06,3252258.305438,3252258.30078125,1.3763130939148693
PB20.13.15_Comb06Ch07,3439178.471453,3439178.466796875,1.3177732282579682
PB20.13.15_Comb06Ch08,3913421.635516,3913421.630859375,1.4143897528876024
PB20.13.15_Comb06Ch09,4128799.443133,4128799.4384765625,1.2186281869686215
PB20.13.15_Comb06Ch10,4374313.359149,NaN,NaN
PB20.13.11_Comb11Ch01,1632385.258563,1632385.25390625,1.3385433392337567
PB20.13.11_Comb11Ch02,1687316.899188,1687316.89453125,1.3284472006095682
PB20.13.11_Comb11Ch03,1723175.053485,1723175.048828125,3.043488842150843
PB20.13.11_Comb11Ch04,1776275.639422,1776275.634765625,1.194412647946793
PB20.13.11_Comb11Ch05,1822052.00661,1822052.001953125,1.4056081117968382
PB20.13.11_Comb11Ch06,1887207.035907,1887207.03125,1.5781473104466797
PB20.13.11_Comb11Ch07,1947555.546649,1947555.5419921875,1.6829020399987162
PB20.13.11_Comb11Ch08,1992187.504657,1992187.5,1.5904165891547786
PB20.13.11_Comb11Ch09,2091369.633563,2091369.62890625,1.053346536824694
PB20.13.11_Comb11Ch10,2150268.559344,2150268.5546875,1.548432512236478
PB20.13.11_Comb11Ch11,2217636.113055,2217636.1083984375,1.5486503711356823
PB20.13.11_Comb11Ch12,2307205.204852,2307205.2001953125,1.613314368001292
PB20.13.11_Comb11Ch13,2331466.679461,2331466.6748046875,1.6062201844790953
PB20.13.11_Comb11Ch14,2421646.122821,2421646.1181640625,1.4308283111875064
PB20.13.11_Comb11Ch15,2472457.890399,2472457.8857421875,1.6138469943582139
PB20.13.11_Comb11Ch16,2563552.861102,2563552.8564453125,1.3529668330340636
PB20.13.11_Comb11Ch17,2609176.640399,2609176.6357421875,3.760604341779599
PB20.13.11_Comb11Ch18,2664718.632586,2664718.6279296875,1.5098628682472457
PB20.13.11_Comb11Ch19,2743759.15993,NaN,NaN
PB20.13.11_Comb11Ch20,2821197.514422,2821197.509765625,1.361786798132638
PB20.13.11_Comb11Ch21,2883911.137469,2883911.1328125,1.61825603390773
PB20.13.11_Comb11Ch22,2976379.399188,2976379.39453125,1.6046894276931618
PB20.13.11_Comb11Ch23,3038558.964618,3038558.9599609375,1.4167373206191476
PB20.13.11_Comb11Ch24,3141708.37868,3141708.3740234375,1.4076562090801703
PB20.13.11_Comb11Ch25,3185348.515399,3185348.5107421875,1.249249789531652
PB20.13.11_Comb11Ch26,3270568.852313,3270568.84765625,1.3810559750560212
PB20.13.11_Comb11Ch27,3350830.082782,3350830.078125,1.4454754064317052
PB20.13.11_Comb11Ch28,3457336.430438,3457336.42578125,1.6547112185630533
PB20.13.11_Comb11Ch29,3526306.157,3526306.15234375,1.6727922449955053
PB20.13.11_Comb11Ch30,3590087.895282,3590087.890625,1.3623523245898215
PB20.13.11_Comb11Ch31,3686752.323993,3686752.3193359375,1.6706975309683318
PB20.13.11_Comb11Ch32,3805160.527118,3805160.5224609375,1.6162190647907146
PB20.13.11_Comb11Ch33,3880767.826922,3880767.822265625,1.7032843168721146
PB20.13.11_Comb11Ch34,3982620.243914,3982620.2392578125,1.3783094307448436
PB20.13.11_Comb11Ch35,4056854.252703,4056854.248046875,1.195172629033452
PB20.13.11_Comb11Ch36,4163589.482196,4163589.4775390625,1.287608405406767
PB20.13.11_Comb11Ch37,4262542.729266,4262542.724609375,1.421341010325235
PB20.13.11_Comb11Ch38,4370498.661883,4370498.6572265625,1.7349659130296222
PB20.13.11_Comb28Ch01,1677398.686297,1677398.681640625,1.2268220960202953
PB20.13.11_Comb28Ch02,1723403.935321,1723403.9306640625,1.359211819550918
PB20.13.11_Comb28Ch03,1784973.149188,1784973.14453125,1.2982642020447337
PB20.13.11_Comb28Ch04,1845932.011493,1845932.0068359375,1.2580048337806151
PB20.13.11_Comb28Ch05,1888885.502703,1888885.498046875,1.5022105102385768
PB20.13.11_Comb28Ch06,1935653.69118,1935653.6865234375,1.5386188926240685
PB20.13.11_Comb28Ch07,2003021.244891,2003021.240234375,1.4892871402743286
PB20.13.11_Comb28Ch08,2131042.485125,2131042.48046875,1.1092138124369826
PB20.13.11_Comb28Ch09,2242507.939227,2242507.9345703125,1.4232629312658736
PB20.13.11_Comb28Ch10,2290725.712664,2290725.7080078125,1.5170224194557393
PB20.13.11_Comb28Ch11,2369384.770282,2369384.765625,1.41431975807219
PB20.13.11_Comb28Ch12,2413482.670672,2413482.666015625,1.3331424584063007
PB20.13.11_Comb28Ch13,2465667.729266,2465667.724609375,1.6093661845317753
PB20.13.11_Comb28Ch14,2553100.590594,2553100.5859375,1.340075765082312
PB20.13.11_Comb28Ch15,2602386.479266,2602386.474609375,1.6751898138500312
PB20.13.11_Comb28Ch16,2767562.870868,2767562.8662109375,1.1897175758577105
PB20.13.11_Comb28Ch17,2963714.604266,2963714.599609375,1.5436816685967634
PB20.13.11_Comb28Ch18,3060913.090594,3060913.0859375,1.3573763882167895
PB20.13.11_Comb28Ch19,3189697.270282,3189697.265625,1.397436477238132
PB20.13.11_Comb28Ch20,3347854.618914,3347854.6142578125,1.3914359097277016
PB20.13.11_Comb28Ch21,3452148.442157,3452148.4375,1.5350539966825585
PB20.13.11_Comb28Ch22,3519744.877703,3519744.873046875,1.6015263706943033
PB20.13.11_Comb28Ch23,3786697.392352,3786697.3876953125,1.4810782919596786
PB20.13.11_Comb28Ch24,3861236.576922,3861236.572265625,1.5406565792008196
PB20.13.11_Comb28Ch25,3976821.904071,3976821.8994140625,1.2592577225429216
PB20.13.11_Comb28Ch26,4064254.765399,4064254.7607421875,1.2454528231818975
PB20.13.11_Comb28Ch27,4241561.894305,4241561.8896484375,1.2851987756257477
PB20.13.11_Comb28Ch28,4366607.670672,4366607.666015625,1.362449710432686
PB20.13.15_Comb22Ch01,1648635.868914,1648635.8642578125,1.4033616305415533
PB20.13.15_Comb22Ch02,1693878.178485,1693878.173828125,1.4950225037761433
PB20.13.15_Comb22Ch03,1747817.997821,1747817.9931640625,1.4452752834711085
PB20.13.15_Comb22Ch04,1804504.399188,1804504.39453125,1.409392242709831
PB20.13.15_Comb22Ch05,1857223.515399,1857223.5107421875,1.6078054711567327
PB20.13.15_Comb22Ch06,1901855.473407,1901855.46875,1.6926941789136716
PB20.13.15_Comb22Ch07,1962356.572039,1962356.5673828125,1.6751306720528325
PB20.13.15_Comb22Ch08,2026138.310321,2026138.3056640625,1.644323677043782
PB20.13.15_Comb22Ch09,2075881.962664,2075881.9580078125,1.0585018482503685
PB20.13.15_Comb22Ch10,2150192.265399,2150192.2607421875,1.65199243547616
PB20.13.15_Comb22Ch11,2200927.739032,2200927.734375,1.6394715690306756
PB20.13.15_Comb22Ch12,2316284.184344,2316284.1796875,1.6157964750765368
PB20.13.15_Comb22Ch13,2371139.531024,2371139.5263671875,1.4730507450349775
PB20.13.15_Comb22Ch14,2431411.747821,2431411.7431640625,1.654333447845962
PB20.13.15_Comb22Ch15,2508544.926532,2508544.921875,1.4277301613852138
