Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch01,1633834.843524,1633834.8388671875,1.3940102499494487
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,1.2933376486626704
PB20.13.28_Comb21Ch03,1699981.69411,1699981.689453125,2.373352462958145
PB20.13.28_Comb21Ch04,1753692.63161,1753692.626953125,1.3805003242844616
PB20.13.28_Comb21Ch05,1814193.730243,1814193.7255859375,1.4731077807616852
PB20.13.28_Comb21Ch06,1871643.071063,1871643.06640625,1.5863106867467178
PB20.13.28_Comb21Ch07,1914138.798602,1914138.7939453125,2.1195598498624313
PB20.13.28_Comb21Ch08,1971740.727313,1971740.72265625,2.1050210130317595
PB20.13.28_Comb21Ch09,2043838.505633,2043838.5009765625,1.640749097866751
PB20.13.28_Comb21Ch10,2086868.290789,2086868.2861328125,2.2996662237555356
PB20.13.28_Comb21Ch11,2162323.002703,2162322.998046875,1.905258462191916
PB20.13.28_Comb21Ch12,2214660.649188,2214660.64453125,1.549034279565641
PB20.13.28_Comb21Ch13,2264099.12575,2264099.12109375,2.9292755741615077
PB20.13.28_Comb21Ch14,2326736.454852,2326736.4501953125,1.6602342078487229
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,1.756695238026173
PB20.13.28_Comb21Ch16,2444610.60036,2444610.595703125,1.6927039791501055
PB20.13.28_Comb21Ch17,2525100.712664,2525100.7080078125,1.9742382117025825
PB20.13.28_Comb21Ch18,2565078.740008,2565078.7353515625,2.482291912093673
PB20.13.28_Comb21Ch19,2648391.728289,2648391.7236328125,1.6595065942618594
PB20.13.28_Comb21Ch20,2718963.627703,2718963.623046875,1.070669478253942
PB20.13.28_Comb21Ch21,2806625.370868,2806625.3662109375,1.5094098381637717
PB20.13.28_Comb21Ch22,2875976.567157,2875976.5625,1.7842912054310727
PB20.13.28_Comb21Ch23,2940750.126727,2940750.1220703125,1.687032379100244
PB20.13.28_Comb21Ch24,3018493.657,3018493.65234375,2.0498826793435416
PB20.13.28_Comb21Ch25,3085250.859149,3085250.8544921875,1.718246741320628
PB20.13.28_Comb21Ch26,3143844.609149,3143844.6044921875,1.3994370169206802
PB20.13.28_Comb21Ch27,3249359.135516,3249359.130859375,1.6319231641600342
PB20.13.28_Comb21Ch28,3313293.461688,3313293.45703125,1.2816282781577741
PB20.13.28_Comb21Ch29,3409042.363055,3409042.3583984375,3.0096829895276294
PB20.13.28_Comb21Ch30,3470382.695086,3470382.6904296875,2.4349765857596846
PB20.13.28_Comb21Ch31,3568191.532977,3568191.5283203125,1.5707434050315467
PB20.13.28_Comb21Ch32,3684005.741961,3684005.7373046875,1.7992115930023052
PB20.13.28_Comb21Ch33,3758087.16286,3758087.158203125,1.589781188139183
PB20.13.28_Comb21Ch34,3822555.546649,3822555.5419921875,2.0891389110561636
PB20.13.28_Comb21Ch35,3924484.257586,3924484.2529296875,1.4527625536683162
PB20.13.28_Comb21Ch36,4007568.364032,4007568.359375,1.3592898810403575
PB20.13.28_Comb21Ch37,4134063.72536,4134063.720703125,1.382531642512284
PB20.13.28_Comb21Ch38,4206466.679461,4206466.6748046875,1.2502684077753063
PB20.13.28_Comb21Ch39,4309463.505633,4309463.5009765625,2.3323759346055946
PB20.13.28_Comb28Ch01,1674041.752703,1674041.748046875,1.7308865851639617
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,1.370734931603457
PB20.13.28_Comb28Ch03,1762847.905047,1762847.900390625,1.329871809174456
PB20.13.28_Comb28Ch04,1819229.130633,1819229.1259765625,1.3670922951213107
PB20.13.28_Comb28Ch05,1931762.699969,1931762.6953125,1.5522997049018907
PB20.13.28_Comb28Ch06,1983489.994891,1983489.990234375,1.5450784931000543
PB20.13.28_Comb28Ch07,2039031.987078,2039031.982421875,1.5634591990085824
PB20.13.28_Comb28Ch08,2096405.033953,2096405.029296875,1.5682398019188608
PB20.13.28_Comb28Ch09,2151489.262469,2151489.2578125,1.1010985317219406
PB20.13.28_Comb28Ch10,2212753.300555,2212753.2958984375,2.342662190306628
PB20.13.28_Comb28Ch11,2279891.97243,2279891.9677734375,1.8135501550158608
PB20.13.28_Comb28Ch12,2348327.641375,2348327.63671875,1.5565134165385848
PB20.13.28_Comb28Ch13,2400436.406024,2400436.4013671875,1.6465695270397607
PB20.13.28_Comb28Ch14,2465133.671649,2465133.6669921875,2.189619596674034
PB20.13.28_Comb28Ch15,2538223.271258,2538223.2666015625,1.7355860864469537
PB20.13.28_Comb28Ch16,2608642.582782,2608642.578125,1.298437493416146
PB20.13.28_Comb28Ch17,2662811.283953,2662811.279296875,1.6932824826818302
PB20.13.28_Comb28Ch18,2746047.978289,2746047.9736328125,1.6969200743428483
PB20.13.28_Comb28Ch19,2815856.93825,2815856.93359375,1.1431922078460788
PB20.13.28_Comb28Ch20,2884445.195086,2884445.1904296875,1.9130799929737285
PB20.13.28_Comb28Ch21,2959365.849383,2959365.8447265625,1.7222511735423438
PB20.13.28_Comb28Ch22,3037033.085711,3037033.0810546875,1.7366558267311962
PB20.13.28_Comb28Ch23,3104400.639422,3104400.634765625,1.447911814598175
PB20.13.28_Comb28Ch24,3195800.785907,3195800.78125,1.816717649334814
PB20.13.28_Comb28Ch25,3257675.175555,3257675.1708984375,1.5153180642968676
PB20.13.28_Comb28Ch26,3348464.970477,3348464.9658203125,1.8255443368389064
PB20.13.28_Comb28Ch27,3433609.013446,3433609.0087890625,1.5166629770731004
PB20.13.28_Comb28Ch28,3525238.041766,3525238.037109375,1.804710395414448
PB20.13.28_Comb28Ch29,3584594.731219,3584594.7265625,1.7197440029428366
