Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.15_Comb06Ch01,1738891.606219,NaN,NaN
PB20.13.15_Comb06Ch02,2143630.986102,2143630.9814453125,4.663171348060295
PB20.13.15_Comb06Ch03,2287292.485125,NaN,NaN
PB20.13.15_Comb06Ch04,2809677.12868,NaN,NaN
PB20.13.15_Comb06Ch05,3058090.214618,NaN,NaN
PB20.13.15_Comb06Ch06,3252258.305438,NaN,NaN
PB20.13.15_Comb06Ch07,3439178.471453,NaN,NaN
PB20.13.15_Comb06Ch08,3913421.635516,NaN,NaN
PB20.13.15_Comb06Ch09,4128799.443133,NaN,NaN
PB20.13.15_Comb06Ch10,4374313.359149,NaN,NaN
PB20.13.28_Comb05Ch01,1694564.823993,1694564.8193359375,1.6019198365054959
PB20.13.28_Comb05Ch02,1748046.879657,1748046.875,1.3186586796857542
PB20.13.28_Comb05Ch03,1784591.679461,1784591.6748046875,2.211090530351802
PB20.13.28_Comb05Ch04,1846771.244891,1846771.240234375,1.325812533949051
PB20.13.28_Comb05Ch05,1901016.240008,1901016.2353515625,1.509875090674513
PB20.13.28_Comb05Ch06,1958465.580828,1958465.576171875,1.6665184165693296
PB20.13.28_Comb05Ch07,2012786.869891,NaN,NaN
PB20.13.28_Comb05Ch08,2073669.43825,2073669.43359375,1.5621910734286906
PB20.13.28_Comb05Ch09,2120437.626727,2120437.6220703125,2.9396599919073787
PB20.13.28_Comb05Ch10,2189559.94118,2189559.9365234375,1.0295513899136572
PB20.13.28_Comb05Ch11,2234573.368914,2234573.3642578125,1.7373494615662683
PB20.13.28_Comb05Ch12,2304229.740985,NaN,NaN
PB20.13.28_Comb05Ch13,2381668.095477,2381668.0908203125,2.1737437421538304
PB20.13.28_Comb05Ch14,2439346.318133,2439346.3134765625,1.576483672651914
PB20.13.28_Comb05Ch15,2500686.650164,2500686.6455078125,1.4745079263978258
PB20.13.28_Comb05Ch16,2557678.227313,NaN,NaN
PB20.13.28_Comb05Ch17,2650299.076922,2650299.072265625,1.2957417464958803
PB20.13.28_Comb05Ch18,2697677.616961,2697677.6123046875,1.6300580186850433
PB20.13.28_Comb05Ch19,2757339.482196,2757339.4775390625,2.4470539444892183
PB20.13.28_Comb05Ch20,2859268.193133,2859268.1884765625,1.0616167165411559
PB20.13.28_Comb05Ch21,2918624.882586,2918624.8779296875,1.7071029107462579
PB20.13.28_Comb05Ch22,2985229.496844,2985229.4921875,2.4011160102501727
PB20.13.28_Comb05Ch23,3073120.121844,3073120.1171875,1.6393464239758184
PB20.13.28_Comb05Ch24,3147811.894305,3147811.8896484375,1.3484355682570515
PB20.13.28_Comb05Ch25,3244476.323016,3244476.318359375,1.4005523526625148
PB20.13.28_Comb05Ch26,3291931.157,3291931.15234375,1.2960949377800746
PB20.13.28_Comb05Ch27,3375778.202899,3375778.1982421875,1.4021246774471399
PB20.13.28_Comb05Ch28,3462829.5945,3462829.58984375,1.2850056417385445
PB20.13.28_Comb05Ch29,3577575.68825,3577575.68359375,2.175544251566175
PB20.13.28_Comb05Ch30,3642959.599383,3642959.5947265625,1.639433401731219
PB20.13.28_Comb05Ch31,3715209.965594,3715209.9609375,1.333846120488151
PB20.13.28_Comb05Ch32,3814086.918719,3814086.9140625,2.84256310236516
PB20.13.28_Comb05Ch33,3921966.557391,3921966.552734375,1.6282928866059476
PB20.13.28_Comb05Ch34,3998870.854266,3998870.849609375,1.5485683957420344
PB20.13.28_Comb05Ch35,4118499.760516,4118499.755859375,1.368750938422069
PB20.13.28_Comb05Ch36,4185333.25661,4185333.251953125,1.27881067405135
PB20.13.28_Comb05Ch37,4296340.947039,4296340.9423828125,1.3631547238580892
PB20.13.28_Comb05Ch38,4392547.612078,4392547.607421875,1.1401433565614392
PB20.13.28_Comb05Ch39,4507675.175555,4507675.1708984375,1.6432153222651957
PB20.13.11_Comb15Ch01,1666412.358172,1666412.353515625,1.4100175644835324
PB20.13.11_Comb15Ch02,1698455.815203,1698455.810546875,2.0558514840398865
PB20.13.11_Comb15Ch03,1729812.626727,1729812.6220703125,1.7112575866593813
PB20.13.11_Comb15Ch04,1856307.988055,1856307.9833984375,1.379454534654499
PB20.13.11_Comb15Ch05,1912765.507586,1912765.5029296875,6.097264396678565
PB20.13.11_Comb15Ch06,1954269.413836,1954269.4091796875,2.0362063151244656
PB20.13.11_Comb15Ch07,2071914.677508,2071914.6728515625,1.88310174187634
